"forename","surname","driver_name","race_year","total_races","points_this_season","wins_this_season","winning_percentage","average_points_per_race","points_all_time","winning_percentage_all_time","average_points_per_race_all_time","championships","wins_all_time"
Max,Verstappen,Max Verstappen,"2023",22,214,19,86.36,9.73,1173,29.19,6.34,3,54
Lewis,Hamilton,Lewis Hamilton,"2023",22,122,0,0.0,5.55,2329,31.02,7.02,7,103
Fernando,Alonso,Fernando Alonso,"2023",22,112,0,0.0,5.09,1631,8.42,4.29,2,32
Charles,Leclerc,Charles Leclerc,"2023",22,104,0,0.0,4.73,568,4.0,4.54,0,5
Valtteri,Bottas,Valtteri Bottas,"2023",22,8,0,0.0,0.36,947,4.48,4.25,0,10
Max,Verstappen,Max Verstappen,"2022",22,180,15,68.18,8.18,1173,29.19,6.34,3,54
Charles,Leclerc,Charles Leclerc,"2022",22,146,3,13.64,6.64,568,4.0,4.54,0,5
Lewis,Hamilton,Lewis Hamilton,"2022",22,127,0,0.0,5.77,2329,31.02,7.02,7,103
Fernando,Alonso,Fernando Alonso,"2022",22,54,0,0.0,2.45,1631,8.42,4.29,2,32
Valtteri,Bottas,Valtteri Bottas,"2022",22,32,0,0.0,1.45,947,4.48,4.25,0,10
Sebastian,Vettel,Sebastian Vettel,"2022",20,27,0,0.0,1.35,1621,17.67,5.4,4,53
Lewis,Hamilton,Lewis Hamilton,"2021",22,177,8,36.36,8.05,2329,31.02,7.02,7,103
Max,Verstappen,Max Verstappen,"2021",22,174,10,45.45,7.91,1173,29.19,6.34,3,54
Valtteri,Bottas,Valtteri Bottas,"2021",22,114,1,4.55,5.18,947,4.48,4.25,0,10
Charles,Leclerc,Charles Leclerc,"2021",22,97,0,0.0,4.41,568,4.0,4.54,0,5
Fernando,Alonso,Fernando Alonso,"2021",22,54,0,0.0,2.45,1631,8.42,4.29,2,32
Sebastian,Vettel,Sebastian Vettel,"2021",22,29,0,0.0,1.32,1621,17.67,5.4,4,53
Kimi,Räikkönen,Kimi Räikkönen,"2021",20,8,0,0.0,0.4,1487,5.97,4.22,1,21
Lewis,Hamilton,Lewis Hamilton,"2020",16,146,11,68.75,9.13,2329,31.02,7.02,7,103
Valtteri,Bottas,Valtteri Bottas,"2020",17,110,2,11.76,6.47,947,4.48,4.25,0,10
Max,Verstappen,Max Verstappen,"2020",17,103,2,11.76,6.06,1173,29.19,6.34,3,54
Charles,Leclerc,Charles Leclerc,"2020",17,57,0,0.0,3.35,568,4.0,4.54,0,5
Sebastian,Vettel,Sebastian Vettel,"2020",17,21,0,0.0,1.24,1621,17.67,5.4,4,53
Kimi,Räikkönen,Kimi Räikkönen,"2020",17,4,0,0.0,0.24,1487,5.97,4.22,1,21
Lewis,Hamilton,Lewis Hamilton,"2019",21,181,11,52.38,8.62,2329,31.02,7.02,7,103
Valtteri,Bottas,Valtteri Bottas,"2019",21,158,4,19.05,7.52,947,4.48,4.25,0,10
Max,Verstappen,Max Verstappen,"2019",21,142,3,14.29,6.76,1173,29.19,6.34,3,54
Charles,Leclerc,Charles Leclerc,"2019",21,136,2,9.52,6.48,568,4.0,4.54,0,5
Sebastian,Vettel,Sebastian Vettel,"2019",21,125,1,4.76,5.95,1621,17.67,5.4,4,53
Kimi,Räikkönen,Kimi Räikkönen,"2019",21,30,0,0.0,1.43,1487,5.97,4.22,1,21
Lewis,Hamilton,Lewis Hamilton,"2018",21,181,11,52.38,8.62,2329,31.02,7.02,7,103
Sebastian,Vettel,Sebastian Vettel,"2018",21,157,5,23.81,7.48,1621,17.67,5.4,4,53
Valtteri,Bottas,Valtteri Bottas,"2018",21,135,0,0.0,6.43,947,4.48,4.25,0,10
Kimi,Räikkönen,Kimi Räikkönen,"2018",21,132,1,4.76,6.29,1487,5.97,4.22,1,21
Max,Verstappen,Max Verstappen,"2018",21,128,2,9.52,6.1,1173,29.19,6.34,3,54
